customer_id,signup_date,home_city,segment,age,household_size,income_band,acquisition_channel,propensity_score
C000001,6/30/2022,Dhaka,End-User,39,6,Mid,Organic,0.588
C000002,1/25/2024,Mymensingh,Investor,28,4,,Paid Search,0.524
C000003,6/10/2024,Chattogram,Renter-to-Owner,24,4,Low,Paid Search,0.451
C000004,7/6/2022,Dhaka,Investor,42,6,Upper-Mid,Marketplace,0.853
C000005,3/11/2024,Mymensingh,End-User,33,3,Lower-Mid,Facebook,0.503
C000006,1/17/2023,Barishal,End-User,23,3,Mid,Organic,0.528
C000007,4/19/2024,Chattogram,Renter-to-Owner,51,3,Mid,Paid Search,0.51
C000008,5/25/2023,Rangpur,Investor,20,3,Lower-Mid,Email,0.741
C000009,5/5/2024,Khulna,End-User,33,1,,Email,0.518
C000010,6/7/2022,Chattogram,Business Buyer,18,4,Low,Marketplace,0.411
C000011,2/19/2023,Rangpur,End-User,36,4,Mid,Organic,0.452
C000012,10/19/2022,Barishal,End-User,28,3,Low,Referral,0.563
C000013,9/22/2022,Dhaka,Renter-to-Owner,41,4,Lower-Mid,Facebook,0.522
C000014,11/25/2022,Rajshahi,Business Buyer,34,4,Lower-Mid,Broker Network,0.664
C000015,2/12/2023,Chattogram,End-User,46,2,Upper-Mid,Email,0.675
C000016,5/16/2022,Dhaka,Business Buyer,30,4,Mid,Paid Search,0.687
C000017,1/24/2024,Mymensingh,Investor,20,4,Upper-Mid,Facebook,0.798
C000018,8/10/2023,Khulna,Business Buyer,36,2,Mid,Paid Search,0.664
C000019,6/3/2024,Rajshahi,Investor,32,6,Upper-Mid,Facebook,0.722
C000020,1/22/2024,Rajshahi,End-User,18,2,Mid,Paid Search,0.399
C000021,6/8/2022,Khulna,Investor,25,2,Lower-Mid,Paid Search,0.83
C000022,3/16/2022,Dhaka,Renter-to-Owner,27,4,Mid,Paid Search,0.613
C000023,3/27/2023,Mymensingh,Business Buyer,48,4,Lower-Mid,Paid Search,0.545
